id,name,parentid,parentId_name,router,menu_index,statecode,statecode_name,icon,created_by,created_by_name,created_at,updated_by,updated_by_name,updated_at
8243B4B5-E622-4361-91CA-13ED458B924C,系列管理,9F44851D-9D95-453C-A69A-BB196A8C120A,内容管理,series,1900,TRUE,启用,,111111111-11111-1111-1111-111111111111,系统,06/12/2022 11:01:58,111111111-11111-1111-1111-111111111111,系统,06/12/2022 11:01:58
ED81B1D7-C135-43C6-90E4-7C9A5E0EA284,草稿管理,9F44851D-9D95-453C-A69A-BB196A8C120A,内容管理,drafts,2010,TRUE,启用,,111111111-11111-1111-1111-111111111111,系统,06/12/2022 11:01:58,111111111-11111-1111-1111-111111111111,系统,06/12/2022 11:01:58
13DD9EAC-52B4-4046-A9E1-565C1E2C1009,专栏管理,9F44851D-9D95-453C-A69A-BB196A8C120A,内容管理,category,2005,TRUE,是,,111111111-11111-1111-1111-111111111111,系统,06/12/2022 11:01:58,111111111-11111-1111-1111-111111111111,系统,06/12/2022 11:01:58
1C98872F-5C05-4ED5-930C-8A1446B77522,想法管理,9F44851D-9D95-453C-A69A-BB196A8C120A,内容管理,idea,2020,TRUE,启用,,111111111-11111-1111-1111-111111111111,系统,06/12/2022 11:01:58,111111111-11111-1111-1111-111111111111,系统,06/12/2022 11:01:58
9FC13449-9EB3-485A-A712-57BD39ACB015,读书笔记管理,9F44851D-9D95-453C-A69A-BB196A8C120A,内容管理,readingNote,2025,TRUE,启用,,111111111-11111-1111-1111-111111111111,系统,06/12/2022 11:01:58,111111111-11111-1111-1111-111111111111,系统,06/12/2022 11:01:58
3C2162BA-EA12-458E-8C50-15251F2A95EE,推荐信息管理,9F44851D-9D95-453C-A69A-BB196A8C120A,内容管理,recommendInfo,2030,TRUE,启用,,111111111-11111-1111-1111-111111111111,系统,06/12/2022 11:01:58,111111111-11111-1111-1111-111111111111,系统,06/12/2022 11:01:58
B6786EC6-4E66-4F01-9D42-D40351877E13,分析中心,,,,5,TRUE,启用,dashboard,111111111-11111-1111-1111-111111111111,系统,06/12/2022 11:01:58,111111111-11111-1111-1111-111111111111,系统,06/12/2022 11:01:58
CB578ECE-60AC-404F-BF77-C39A4F42D3E4,网站分析,6786EC6-4E66-4F01-9D42-D40351877E13,分析中心,websiteAnalysis,100,TRUE,启用,,111111111-11111-1111-1111-111111111111,系统,06/12/2022 11:01:58,111111111-11111-1111-1111-111111111111,系统,06/12/2022 11:01:58
FF6C145B-1C40-44D2-B2B5-CFD726C8FCB3,工作空间,B6786EC6-4E66-4F01-9D42-D40351877E13,分析中心,workplace,500,TRUE,启用,,111111111-11111-1111-1111-111111111111,系统,06/12/2022 11:01:58,111111111-11111-1111-1111-111111111111,系统,06/12/2022 11:01:58
9F44851D-9D95-453C-A69A-BB196A8C120A,创作平台,,,,10,TRUE,启用,container,111111111-11111-1111-1111-111111111111,系统,06/12/2022 11:01:58,111111111-11111-1111-1111-111111111111,系统,06/12/2022 11:01:58
72941895-810C-40DD-AEF9-A9CCF9276962,链接信息,9F44851D-9D95-453C-A69A-BB196A8C120A,内容管理,link,2040,TRUE,启用,,111111111-11111-1111-1111-111111111111,系统,06/12/2022 11:01:58,111111111-11111-1111-1111-111111111111,系统,06/12/2022 11:01:58
8201EFED-76E2-4CD1-A522-4803D52D4D92,博客管理,,,,8,TRUE,启用,book,111111111-11111-1111-1111-111111111111,系统,06/12/2022 11:01:58,111111111-11111-1111-1111-111111111111,系统,06/12/2022 11:01:58
D7F5968F-CC68-4897-88B3-25FB26925845,文章管理,9F44851D-9D95-453C-A69A-BB196A8C120A,内容管理,post,2000,TRUE,启用,,111111111-11111-1111-1111-111111111111,系统,06/12/2022 11:01:58,111111111-11111-1111-1111-111111111111,系统,06/12/2022 11:01:58
