id,name,parentid,parentId_name,router,menu_index,statecode,statecode_name,icon,created_by,created_by_name,created_at,updated_by,updated_by_name,updated_at
DD0FCF4C-10E6-4DB5-8255-35984F5DB134,系统设置,,,,30,TRUE,启用,setting,111111111-11111-1111-1111-111111111111,系统,06/12/2022 11:01:58,111111111-11111-1111-1111-111111111111,系统,06/12/2022 11:01:58
77E973D5-7EC0-4904-A43C-C6623B02D9FC,菜单管理,DD0FCF4C-10E6-4DB5-8255-35984F5DB134,系统设置,sysmenu,3000,TRUE,启用,,111111111-11111-1111-1111-111111111111,系统,06/12/2022 11:01:58,111111111-11111-1111-1111-111111111111,系统,06/12/2022 11:01:58
C64951C4-9FE0-432D-B899-3225DA3A64FF,实体,DD0FCF4C-10E6-4DB5-8255-35984F5DB134,系统设置,sysEntity,3010,TRUE,启用,,111111111-11111-1111-1111-111111111111,系统,06/12/2022 11:01:58,111111111-11111-1111-1111-111111111111,系统,06/12/2022 11:01:58
202FEB91-90E1-467B-9DDA-086A636DECD2,作业管理,DD0FCF4C-10E6-4DB5-8255-35984F5DB134,系统设置,job,3020,TRUE,启用,,111111111-11111-1111-1111-111111111111,系统,06/12/2022 11:01:58,111111111-11111-1111-1111-111111111111,系统,06/12/2022 11:01:58
A0C5D935-DF51-4476-B4B0-73C3A33264DB,异步管理,DD0FCF4C-10E6-4DB5-8255-35984F5DB134,系统设置,async,3030,TRUE,启用,,111111111-11111-1111-1111-111111111111,系统,06/12/2022 11:01:58,111111111-11111-1111-1111-111111111111,系统,06/12/2022 11:01:58
417A0A4D-44ED-43BA-B693-BA65079A8C62,用户信息,DD0FCF4C-10E6-4DB5-8255-35984F5DB134,系统设置,userInfo,3040,TRUE,启用,,111111111-11111-1111-1111-111111111111,系统,06/12/2022 11:01:58,111111111-11111-1111-1111-111111111111,系统,06/12/2022 11:01:58
1C403F1C-F83C-4AF2-8260-AC686C5211C1,选项集,DD0FCF4C-10E6-4DB5-8255-35984F5DB134,系统设置,sysParamGroup,3050,TRUE,启用,,111111111-11111-1111-1111-111111111111,系统,06/12/2022 11:01:58,111111111-11111-1111-1111-111111111111,系统,06/12/2022 11:01:58
35F740A3-F094-4A33-BD53-D43B489EB28E,系统参数,DD0FCF4C-10E6-4DB5-8255-35984F5DB134,系统设置,sysConfig,3060,TRUE,启用,,111111111-11111-1111-1111-111111111111,系统,06/12/2022 11:01:58,111111111-11111-1111-1111-111111111111,系统,06/12/2022 11:01:58
9118991A-9B9E-4F1B-8858-57515AC32763,角色管理,DD0FCF4C-10E6-4DB5-8255-35984F5DB134,系统设置,role,3070,TRUE,启用,,111111111-11111-1111-1111-111111111111,系统,06/12/2022 11:01:58,111111111-11111-1111-1111-111111111111,系统,06/12/2022 11:01:58
12D15EB7-BF19-4D23-B6EA-7353B1808B03,机器人管理,,,,21,TRUE,启用,robot,111111111-11111-1111-1111-111111111111,系统,06/12/2022 11:01:58,111111111-11111-1111-1111-111111111111,系统,06/12/2022 11:01:58
DA0A4366-07EF-4693-8064-0A73F4FD8BEC,机器人,12D15EB7-BF19-4D23-B6EA-7353B1808B03,机器人管理,robot,100,TRUE,启用,,111111111-11111-1111-1111-111111111111,系统,06/12/2022 11:01:58,111111111-11111-1111-1111-111111111111,系统,06/12/2022 11:01:58
